label,M06,PBE,SOGGA11,SCAN,r2SCAN,B3LYP,MN15,B97,AM05
H,-0.004384398708441133,-0.0026412477300343067,-0.006175391353073972,-0.00214184767692736,-0.0021418471694750023,0.0024091073417548854,0.001902619190941996,-0.0032163510006137756,0.002167724806522515
He,-0.06555554665001084,-0.05519914420114125,-0.05013605483594974,-0.061003703413816,-0.06111585815260456,-0.059599170830539006,-0.10725247758767598,-0.05834197906112948,-0.058045758231426436
Li,-0.004447290153726167,-0.004605805575129383,0.00042825249004482466,-0.0064196806170548106,-0.006397738480072777,-0.005494504040912149,0.001320696706191695,-0.004780385690734166,-0.004997388645652388
Be,-0.008419220132491745,-0.003083504934217274,-0.003908200541543394,-0.006090954228083589,-0.006171503187673011,-0.007144167964671766,-0.024354691140526796,-0.0066741065995366,-0.004017581447872232
B,-0.004491378733085374,0.009700327377121662,0.006790569134615718,0.009461759007422396,0.009587750945535087,0.0016749611583899288,0.004928127166014415,0.001286766629253075,0.009046925316845242
C,0.0023502182764834553,0.008731970611358046,0.009578451934978242,0.005413085491099916,0.006551085165675867,-0.0011774434617274968,0.0009172824321699788,-0.00018839285048905668,0.010746001069499793
N,-0.028111471556414358,-0.020080706753340394,-0.01665094478713769,-0.025478988943063996,-0.02564787811921576,-0.02330356600708683,-0.06014865140122794,-0.0226121314956913,-0.020935856930208274
O,-0.005797745650022633,0.005762099907107555,0.001838770151286341,-0.0014736993735284462,-0.001607069580296737,0.0008230127644764176,-0.0013953928078025077,-0.002110338066481275,0.0046502262634134164
F,-0.004167787908182466,0.003299759153468737,0.008453540650795996,-0.009534702622455218,-0.0073876296249388435,-0.0026476723603345437,-0.003219927804304537,-0.004059130255237922,0.008528192879074178
Ne,-0.077451179158885,-0.07044460045318601,-0.06771800963039709,-0.07661915300627697,-0.07678244288791802,-0.0753015589735071,-0.11382732119076877,-0.07374343883461165,-0.0733739871505179
Na,-0.0032036017276857176,-0.0009901843215606998,0.024336164361491247,-0.0035972445184972723,-0.0037332864138568123,-0.0025224453621410514,0.0027999076945855184,0.000895266817982493,-0.0029847516189340506
Mg,-0.009883302224949375,-0.003740555937639556,-0.0038602814224191206,-0.004601284076130696,-0.00461573488055933,-0.008283178800581936,-0.015391368377436265,-0.008139985735908795,-0.004777797638894299
Al,-0.0061749282493379284,0.00485842810091567,0.004165949431338002,0.006074427715289356,0.0060813958337591414,-0.002640776041816527,0.0037611165505340508,-0.0018851827872636492,0.003640047028837169
Si,-0.0037370874939477577,0.0037206571540315675,0.0037966295197526673,0.004319642417340827,0.005052014782120903,-0.005040885370521511,0.0019197277141080743,-0.00283044106667997,0.0037822980994639405
P,-0.00206120931912011,0.0023285837690738727,0.0019553985228273514,0.0010215217807601103,0.00048179516685166804,0.0019116914183743457,-0.004391660478145525,0.0008530719470374488,-0.000418222691419317
S,-0.001773158431760291,0.0016693113559681505,0.0035723036281892773,0.001163751813422098,0.0009170207886909365,9.585632143671585e-05,0.0013554640911052074,0.0007604330154008521,0.001345261949168619
Cl,0.002683826338236245,0.001317790338712016,0.004850257092991556,-0.0010867166436039633,-0.00010559994551864738,-0.0010961317473654753,0.0013044557880536878,0.0005608634808797752,0.0037858692965162255
Ar,-0.0512948875920074,-0.04437930826611591,-0.0416410832630163,-0.04996443213110524,-0.05014600965569116,-0.04930469322323461,-0.08312960207695141,-0.047981895076532055,-0.04665434105402255
