,ec_non_positivity,ec_scaling_check,tc_non_negativity,tc_upper_bound,adiabatic_ec_concavity,lieb_oxford_bound_exc,lieb_oxford_bound_uxc
0,False,False,False,False,False,True,True
1,False,True,False,True,False,True,True
2,False,False,False,False,False,True,True
3,False,True,False,True,False,True,True
4,False,True,False,True,False,True,True
5,False,True,True,True,True,True,True
6,False,True,False,True,False,True,True
7,False,True,True,True,True,True,True
8,False,True,True,True,True,True,True
9,False,True,True,True,True,True,True
10,False,True,True,True,True,True,True
11,False,True,True,True,True,True,True
12,False,True,True,True,True,True,True
13,False,True,True,True,True,True,True
14,False,True,True,True,True,True,True
15,False,True,True,True,True,True,True
16,False,True,True,True,True,True,True
17,False,True,True,True,True,True,True
18,False,True,True,True,True,True,True
19,False,True,True,True,True,True,True
20,False,True,True,True,True,True,True
21,False,True,True,True,True,True,True
22,False,True,True,True,True,True,True
23,False,True,True,True,True,True,True
24,False,True,True,True,True,True,True
25,False,True,True,True,True,True,True
26,False,True,True,True,True,True,True
27,False,True,True,True,True,True,True
28,False,True,True,True,True,True,True
29,True,True,True,True,True,True,True
30,False,True,True,True,True,True,True
31,True,True,True,True,True,True,True
32,True,True,True,True,True,True,True
33,True,True,True,True,True,True,True
34,True,True,True,True,True,True,True
