MGGA XC,satisfied condition?,$r_s$ range,$s$ range,$\zeta$ range,$\alpha$ range,$q$ range ,Refs.
mgga\_c\_m06\_l,False,[1.e-04 5.e+00],[0. 5.],[0. 1.],[0. 5.],---,"\cite{Zhao2006_194101,Zhao2008_215}"
mgga\_c\_m11\_l,False,[1.e-04 5.e+00],[0. 5.],[0. 1.],[0. 5.],---,\cite{Peverati2012_117}
mgga\_c\_mn12\_l,False,[0.9003 5.    ],[0. 5.],[0. 1.],[0. 5.],---,\cite{Peverati2012_13171}
mgga\_c\_mn15\_l,False,[0.7612 5.    ],[0.     0.8586],[0. 1.],[0. 5.],---,\cite{Yu2016_1280}
mgga\_c\_pkzb,True,---,---,---,---,---,\cite{Perdew1999_2544}
mgga\_c\_r2scan,True,---,---,---,---,---,"\cite{Furness2020_8208,Furness2020_9248}"
mgga\_c\_r2scanl,True,---,---,---,---,---,"\cite{Mejia2020_121109,Furness2020_8208,Furness2020_9248}"
mgga\_c\_revm06\_l,False,[1.e-04 5.e+00],[0.     0.0505],[0. 1.],[0. 0.],---,\cite{Wang2017_8487}
mgga\_c\_revscan,True,---,---,---,---,---,\cite{Mezei2018_2469}
mgga\_c\_revtm,True,---,---,---,---,---,\cite{Jana2019_6356}
mgga\_c\_revtpss,True,---,---,---,---,---,"\cite{Perdew2009_026403,Perdew2009_026403_err}"
mgga\_c\_rscan,True,---,---,---,---,---,\cite{Bartok2019_161101}
mgga\_c\_scan,True,---,---,---,---,---,\cite{Sun2015_036402}
mgga\_c\_scanl,True,---,---,---,---,---,"\cite{Mejia2017_052512,Mejia2018_115161,Sun2015_036402}"
mgga\_c\_tm,True,---,---,---,---,---,\cite{Tao2016_073001}
mgga\_c\_tpss,True,---,---,---,---,---,"\cite{Tao2003_146401,Perdew2004_6898}"
